"300 obtained, 0 missing (300 visible)",,Short URL: http://goo.gl/HxAzdJ  --  Item search: http://toukiden.surge.sh/itemsearch -- Mitama skill search: http://toukiden.surge.sh/mitamasearch -- To have your own editable checklist: File -> Make a Copy...,,,,,,,,,,,,,,,,,,,
#,Name,Obtained,New in Kiwami,Confirmed source,Type,Age,Source,Difficulty,Where to find,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8,Skill 9,Skill 10,Skill 11,Skill 12
243,Taira no Kiyomori,x,,x,SPD,Honor,Windshredder,Normal,"C2-3, C2-7, C2-11, P2-4, P2-8",Application (Lv. 1),Swiftness,Fitness (Lv. 1),Energy+ (Swift),Restoration (Lv. 2),Energy (Stock +2),Vigor+ (Nimble),Agility (Stock +3),Expert Destroyer,SPD Master (Minimize),Energy+ (Quicken),Vigor+ (Wraith)
244,Taira no Masakado,x,,x,ATK,Grace,Harrowhalf,Normal,"C3-15, C4-12, P3-15, P4-4",Knowledge (Lv.2),Notice Destroyer,Stamina (Lv. 2),Eruption+ (Bolster),Pursuit+ (Track),Dissection (Health),Tranquility,Pursuit+ (Bolster),ATK Master (Amplify),Carnage+ (Martyr),Eruption+ (Accuracy),Knowledge (Leech)
245,Taira no Noritsune,x,,x,ATK,Honor,Blitzer,Normal,C2-3,Resillience,Fervor,Chain,Leech (Time +5s),Attack up (Lv.2),Leech+ (Amplify),Leech (Reduce),Attack up (Lv.3),Leech+ (Rigid),Leech (Stock +3),Leech+ (Purify),Exuberance
246,Taira no Sadamori,x,x,x,SPD,Grace,Harrowhalf,Ultimate,P14-3,Devotion,Affliction (Lv. 4),Devastation,Breakthrough,Energy (Stock +3),Vigor (Time +10s),Energy (Time +10s),Energy+ (Havoc),Agility+ (Quicken),SPD Master (Minimize),Vigor+ (Link),Energy+ (Exploit)
247,Taira no Tokuko,x,x,x,SUP,Honor,Windshredder,Normal,"C2-3, C2-7, C2-11, P2-4, P2-8",Renewal (Lv. 1),Swiftness,Chance,Sacrifice (Reduce),Agility+ (Sneak),Renewal (Lv. 2),Agility+ (Bonus),Recovery+ (Blessing),Diffusion+ (Swift),Vigor+ (Assist),Sacrifice (Time +10s),Majesty
248,Taira no Tomomori,x,x,x,DEF,Honor,Windshredder,Ultimate,"C13-9, C13-15, P13-2, P13-8",DEF Master (Resist),Charity,Restart,Escort Duty,Taunt (Stock +3),Shield (Stock +3),Taunt+ (Protect),Introspection,Taunt+ (Damage),Shield+ (Link),Barrier+ (Shred),Taunt+ (Assist)
249,Tajimamori,x,x,x,LCK,Yore,Panthera,Ex,"C12-2, C12-10, P11-6, P12-5",Chance,Relaxation,Diffusion+ (Hardy),Fortune+ (Amplify),Diffusion+ (Reflect),Fortune+ (Surprise),Diffusion (Stock +3),Fortune+ (Gambler),Altruism+ (Destroy),Random+ (SUP Style),Sacrifice+ (Link),Exploit (Wrath)
250,Takahashi Deishu,x,,x,DEF,Chaos,Razortalon,Normal,"C3-8, P3-5",Protection (Lv. 1),Persistence,Shield (Stock +1),Piety,Protection (Lv. 2),Random (Stock +2),Taunt (Stock +3),Protection (Lv. 3),Restart,Fortune+ (Sturdy),Fortification,Protection (Lv. 4)
251,Takasue's Daughter,x,x,x,SUP,Grace,Maledictaur,Ex,"C11-19, P11-11",Stealth (Lv. 2),Altruism (Time +10s),Puncture (Stock +2),Altruism+ (Accuracy),Altruism+ (Surprise),Affliction (Lv. 3),Altruism+ (Nimble),Puncture+ (Amplify),Exploit (Leech),DCT Master (Surprise),Sacrifice+ (Rally),Affliction (Lv. 4)
252,Takasugi Shinsaku,x,,x,SPD,Chaos,Umbrapod,Normal,"C4-5, S-13",Application (Lv. 1),Energy (Stock +1),Notice Destroyer,Determination,Wrath,Agility (Stock +2),Energy+ (Quicken),Vigor (Reduce),Application (Lv. 3),SPD Master (Minimize),Energy (Time +10s),Energy+ (Range)
253,Takechi Hanpeita,x,x,x,SUP,Chaos,Terragrinder,Ultimate,P14-2,Evasion,Conviction,Flying Blade,Wrath,Chance,Expert Destroyer,Swordsmanship,Charge,Sacrifice+ (Minimize),SUP Master (Amplify),Altruism (Time +10s),Majesty
254,Takeda Shingen,x,,x,DCT,War,Jollux,Normal,"C2-8, C2-13, P2-13, P3-2",Affliction (Lv. 1),Resillience,Chain,DCT Master (Assault),Puncture (Time +5s),ATK Master (Amplify),Leech (Stock +3),Illusion (TIme +10s),Affliction (Lv. 3),Stupor (Stock +1),Escort Duty,Protection of Heroes
255,Takenouchi no Sukune,x,,x,SPT,Yore,Windshredder,Normal,"C5-14, P5-7",Recuperation (Lv. 1),Lifesaver,Zeal+ (Accuracy),Pursuit (Stock +2),Verity (Lv.2),Zeal (Stock +2),Panacea (Reduce),Expert Destroyer,Pursuit+ (Accuracy),Knowledge (Lv.4),Zeal+ (Attributes),Knowledge (Absorb)
256,Tamamo-no-Mae,x,,x,HLG,Honor,Bloodhunter,Ex,"C6-16, C10-2, P8-14, P10-6, S-23",Recovery+ (Blessing),Chain,Zeal+ (Valor),Chance,Zeal+ (Wraith),Panacea (Reduce),Renewal (Lv. 2),Vitality+ (Zone),Panacea (Stock +1),Restart,HLG Master (Quicken),Panacea+ (Quicken)
257,Tanaka Hisashige,x,,x,DCT,Chaos,Shadow Soul,Normal,"C5-16, S-13",Affliction (Lv. 1),Chain,Restoration (Lv. 2),Puncture (Stock +1),Verity (Lv.2),Illusion (Stock +1),Illusion (Reduce),Illusion (Time +5s),Verity (Lv.3),Illusion+ (Sneak),Illusion+ (Sanctity),Illusion+ (Assist)
258,Tanuma Okitsugu,x,x,x,LCK,Peace,Aurogrinder,Ex,,Haku Collector,Ablution+ (Reduce),Ablution (Stock +3),Arms of Steel,Breaker+ (Link),Fortune+ (Gambler),Ablution+ (Extend),Random+ (Gamble),Intensity (Amplify),Random+ (PLN Style),Ablution+ (Quicken),Greed
259,Tenkai,x,,x,HLG,Peace,Viper Queen,Normal,"C5-10, P5-2",Chain,Renewal (Lv. 1),Fitness (Lv. 1),Vitality (Stock +2),Tolerance (Lv. 3),Paradox (Time +5s),Sanctum+ (Hardy),SPC Master (Quicken),Recuperation (Lv. 2),HLG Master (Quicken),Vitality+ (Zone),Tolerance (Lv. 4)
260,The Great Unifier,x,x,x,SUP,Grace,Chapter 12,-,,Notice Destroyer,Piety,Altruism+ (Amplify),Altruism (Stock +2),Lifesaver,Recuperation (Lv. 2),Sacrifice (Reduce),Altruism+ (Destroy),Diffusion+ (Destroy),Heroes' Rally,Protection of Heroes,Heroes' Guidance
261,Todo Heisuke,x,x,x,PLN,Chaos,Putrox,Ex,"C9-6, C12-8, P11-1, P12-9",Verity (Lv.2),Chain,Charge,Ablution+ (Potency),Verity (Lv.3),Vigor+ (Nimble),Breakthrough,Energy+ (Quicken),Verity (Lv.4),Energy+ (Havoc),PLN Master (Extend),Fervor
262,Tojiko no Iratsume,x,,x,SPT,Yore,Nightblade,Normal,"C5-17, P5-10, P5-16",Affliction (Lv. 2),Stealth (Lv. 2),Knowledge (Lv.2),Eruption+ (Sneak),Pursuit (Stock +3),Puncture (Stock +2),Stupor (Reduce),Illusion+ (Sanctity),Restoration (Lv. 3),Expert Destroyer,Pursuit+ (Surprise),Exploit (Leech)
263,Tokugawa Iemitsu,x,,x,SPC,Peace,Windshredder,Normal,C4-9,Piety,Dissection (Focus),Warp (Stock +5),Paradox (Stock +1),Paradox (Reduce),Stoutness,Fitness (Lv. 2),Paradox+ (Surprise),Tolerance (Lv. 3),Paradox+ (Bolster),Charity,Paradox+ (Assist)
264,Tokugawa Ieyasu,x,,x,DEF,Peace,Bladewing,Normal,"C4-16, C5-2, P4-10, P4-13",Taunt+ (Sturdy),Stamina (Lv. 2),Taunt (Reduce),Taunt (Stock +1),Protection (Lv. 3),Recovery (Stock +1),Taunt+ (Amity),Shield (Reduce),Stone Wall,DEF Master (Valiant),Majesty,Taunt+ (Protect)
265,Tokugawa Tsunayoshi,x,x,x,PLN,Peace,Bladewing,Ultimate,"P15-2, P15-7",Relaxation,Ablution+ (Reduce),Lure (Lv. 2),Expert Destroyer,Ablution+ (Quicken),Zeal (Time +10s),Ablution+ (Wrath),Zeal+ (Accuracy),Insight,Zeal+ (Wraith),Intensity (Range),Exuberance
266,Tokugawa Yoshimune,x,,x,ATK,Peace,Bladewing,Normal,"C4-16, C5-2, P4-10, P4-13",Attack up (Lv.1),Attack up (Lv.2),Stamina (Lv. 2),Leech (Stock +2),Might+ (Nimble),Verity (Lv.2),Leech+ (Quicken),Verity (Lv.3),Might+ (Sturdy),Attack up (Lv.4),Fitness (Lv. 2),Protection of Heroes
267,Tokugawa Yoshinobu,x,,x,DCT,Chaos,Umbrapod,Ex,"C7-6, P10-3",Perseverance,Swordsmanship,Evasion,Illusion (Stock +2),Verity (Lv.2),Stupor (Stock +1),Stupor (Reduce),Dissection (Focus),Verity (Lv.3),Stupor (Time +2s),Verity (Lv.4),Stupor+ (Destroy)
268,Toshusai Sharaku,x,,x,SPT,Peace,Umbrapod,Ex,P7-17,Protection of Heroes,Chain,Fountain (Reduce),Fountain (Stock +2),Fortune+ (Gambler),Fountain+ (Bolster),Fortune (Reduce),Master Destroyer,SPT Master (Devote),Fortune+ (Wraith),Knowledge (Leech),Majesty
269,Toyama Kinshiro,x,,x,ATK,Peace,Razortalon,Ex,C7-13,Lure (Lv. 2),Might (Stock +2),Chance,Fortune (Stock +2),Fitness (Lv. 2),Random (Reduce),Random+ (Cautious),Attack up (Lv.4),Protection of Heroes,Carnage+ (Almighty),Carnage (Reduce),Piety
270,Toyotomi Hideyori,x,x,x,LCK,War,Dreadhalf,Ultimate,"P14-10, P14-17",Recovery+ (Range),Charity,Random (Stock +3),Protection of Heroes,Restart,Restart,Barrier+ (Awe),Random+ (SUP Style),Sacrifice+ (Rally),Random+ (HLG Style),Panacea+ (Quicken),Fortune+ (Assist)
271,Toyotomi Hideyoshi,x,,x,SPD,War,Pyropteryx,Normal,"C4-4, P4-3",Application (Lv. 1),Ebullience,Notice Destroyer,Vigor (Stock +1),Application (Lv. 2),Vigor+ (Nimble),Vigor (Reduce),Agility (Stock +2),Agility+ (Dual),Vigor (Time +10s),Agility+ (Sneak),Vigor+ (Link)
272,Tsukuhara Bokuden,x,,x,DEF,War,Sickleclaws,Normal,"C2-9, P2-5",Extinguishment,Restoration (Lv. 1),Energy (Time +5s),Tranquility,Protection (Lv. 2),Expert Destroyer,Vigor (Reduce),Energy+ (Lure),Taunt (Stock +2),Taunt+ (Swift),Tempered Blade,Majesty
273,Tsukushi-no-Kimi Iwai,x,x,x,DEF,Yore,Sableblade,Ultimate,"P16-12, P16-15",Attack up (Lv.4),DEF Master (Lure),Desperation,Introspection,Taunt+ (Zone),Barrier (Stock +1),Insight,Barrier+ (Awe),Shield+ (Valiant),DEF Master (Valiant),Barrier+ (Wraith),Devotion
274,Tsukuyomi,x,,x,HLG,Yore,Terragrinder,Ex,"P9-10, P12-18",Recovery (Stock +1),Vitality+ (Amplify),Recovery+ (Amplify),Zeal (Time +10s),Shield+ (Valiant),Tranquility,Recovery (Stock +2),Shield+ (Range),Panacea (Stock +1),HLG Master (Quicken),Panacea+ (Quicken),Heroes' Rally
275,Tsutaya Oyoshi,x,x,x,SUP,Peace,Mynx,Ultimate,"C13-11, C13-27, P13-4, P13-20, P17-5, P17-10",Recuperation (Lv. 2),Recovery+ (Amplify),Altruism+ (Amplify),Lovestruck,Recovery+ (Blessing),Diffusion (Stock +3),Sacrifice+ (Minimize),Altruism+ (Nimble),Sacrifice+ (Leech),Sacrifice (Time +10s),SUP Master (Hardy),Recovery (Stock +3)
276,Uesugi Kenshin,x,,x,ATK,War,Jollux,Ex,"C6-3, P6-3, P6-17, P10-12",Notice Destroyer,Chain,Stone Wall,Leech (Stock +2),Prescience,Leech+ (Wraith),Leech (Reduce),Master Destroyer,Might+ (Nimble),Verity (Lv.4),Swordsmanship,Insight
277,Uesugi Yozan,x,x,x,SUP,Peace,Bladewing,Normal,"C4-16, C5-2, P4-10, P4-13",Fitness (Lv. 1),Diffusion (Time +5s),Prescience,Exigency,Diffusion (Stock +2),Desperation,Fitness (Lv. 2),Diffusion+ (Reflect),Wrath,Sacrifice+ (Spirit),Devotion,Tenacity
278,Unkei,x,,x,HLG,Honor,Frostwing,Ex,"C7-11, C7-16, P9-3, P10-15",Stamina (Lv. 3),Devastation,Conviction,Zeal (Stock +2),Might+ (Sturdy),Leech (Stock +3),Zeal+ (Ardor),Leech+ (Rigid),Recuperation (Lv. 2),Leech+ (Amplify),Vitality+ (Rigid),Verity (Lv.4)
279,Ura,x,x,x,PLN,Yore,Metagnost,Ex,"P12-21, P12-22",Attack up (Lv.2),Dissection (Health),Exigency,Attack up (Lv.3),PLN Master (Amplify),Intensity (Amplify),Earthshaker,Carnage+ (Almighty),Attack up (Lv.4),Leech+ (Havoc),Carnage+ (Martyr),Devotion
280,Urabe no Suetake,x,x,x,SPT,Grace,Bloodhunter,Ultimate,"C13-17, C13-25, P13-10, P13-18",Pursuit+ (Devour),Chain,Pursuit+ (Leech),Pursuit (Stock +3),Fountain (Stock +3),Conduction,Restart,Exuberance,Knowledge (Absorb),Eruption (Stock +1),Bound Souls,SPT Master (Purify)
281,Urashima Taro,x,,x,SPD,Yore,Chapter 4,-,,Lure (Lv. 1),Swordsmanship,Verity (Lv.2),Agility (Stock +2),Application (Lv. 2),Fortune (Stock +2),Random (Reduce),Verity (Lv.3),Protection of Heroes,Random+ (SPD Style),Agility+ (Bonus),Vigor+ (Link)
282,Usui no Sadamitsu,x,x,x,PLN,Grace,Thanatoceros,Ex,"C10-13, C11-4, C11-14, P11-15, P11-18, P12-14",Verity (Lv.2),Dissection (Focus),Prescience,Intensity (Time +5s),Charge,Might (Time +5s),Verity (Lv.3),Infusion,PLN Master (Amplify),Might+ (Havoc),Breaker+ (Amplify),Devastation
283,Watanabe no Tsuna,x,,x,ATK,Grace,Chapter 4,-,,Protection (Lv. 2),Attack up (Lv.2),Dissection (Health),Barrier (Reduce),Stamina (Lv. 2),Shield (Stock +2),Might (Stock +2),Attack up (Lv.3),Lure (Lv. 2),Shield+ (Link),Attack up (Lv.4),Heroes' Rally
284,Xu Fu,x,,x,HLG,Yore,Shadow Soul,Ex,P8-10,Stamina (Lv. 3),Protection of Heroes,Vitality (Time +5s),Vitality (Stock +2),Puncture+ (Absorb),Illusion (Stock +2),Puncture+ (Shoot),Puncture+ (Accuracy),Affliction (Lv. 3),Vitality+ (Rigid),Exuberance,Exploit (Leech)
285,Yagyu Jubei,x,,x,ATK,Peace,Bladewing,Ex,"C8-7, P7-17, P10-10",Charge,Swiftness,Stamina (Lv. 2),Energy+ (Accuracy),Might+ (Nimble),Affliction (Lv. 3),Energy (Reduce),Fitness (Lv. 2),Verity (Lv.3),Might (Time +10s),Tempered Blade,Restoration (Lv. 4)
286,Yagyu Munemori,x,,x,ATK,Peace,Frostwing,Ex,"C7-13, P7-13, S-21",Attack up (Lv.2),Verity (Lv.2),Application (Lv. 2),Wrath,Carnage (Reduce),Recovery+ (Amplify),Dissection (Focus),Carnage (Time +5s),Verity (Lv.4),Carnage+ (Martyr),Gouge Master,Recovery+ (Bonus)
287,Yamamoto Kakuma,x,x,x,PLN,Chaos,Hell's Warden,Normal,"C5-12, C5-15, P5-5, P5-8",Fitness (Lv. 1),Dissection (Health),Ablution+ (Potency),Ablution (Stock +2),Fitness (Lv. 2),SPT Master (Devote),Breaker (Time +10s),Reload +2,Breaker+ (Amplify),Eruption+ (Destroy),Knowledge (Leech),Majesty
288,Yamamoto Kansuke,x,,x,SPC,War,Edax,Normal,C5-5,Warp+ (Flight),Chain,Piety,Warp (Stock +10),Fitness (Lv. 2),Zeal (Stock +2),Panacea (Reduce),Tolerance (Lv. 3),Leech+ (Quicken),HLG Master (Quicken),Fortification,Restart
289,Yamana Sozen,x,x,x,DEF,Honor,Phytodior,Ex,"C8-6, C10-2, P11-4",Expert Destroyer,Wrath,Swordsmanship,Perseverance,Muscle-bound,Intensity (Time +10s),PLN Master (Amplify),Barrier+ (Wraith),Intensity (Amplify),Barrier+ (Shred),Barrier+ (Brawn),Master Destroyer
290,Yamanami Keisuke,x,x,x,SUP,Chaos,Putrox,Ultimate,"P14-12, P15-19, P17-6",Swiftness,Might+ (Rage),Whirlwind,Might+ (Nimble),Energy+ (Accuracy),Altruism+ (Accuracy),Energy (Time +10s),Altruism+ (Qinggong),Might+ (Range),Heroes' Rally,Altruism+ (Nimble),Fervor
291,Yamanoue no Okura,x,,x,DCT,Grace,Harrowhalf,Normal,"C3-15, C4-12, P3-15, P4-4",Warmth,Persistence,Stamina (Lv. 2),Puncture (Stock +2),Eruption+ (Sneak),Vitality (Reduce),Pursuit+ (Surprise),Verity (Lv.3),Fountain+ (Surprise),Zeal (Time +10s),Fountain+ (Exploit),Heroes' Rally
292,Yamaoka Tesshu,x,,x,ATK,Chaos,Cimmerian King,Ex,P9-12,Determination,Persistence,Application (Lv. 2),Might (Time +5s),Energy+ (Bonus),Zeal (Time +10s),Fervor,Application (Lv. 3),Puncture+ (Absorb),Zeal+ (Rage),Gouge Master,Dissection (Focus)
293,Yamato Takeru,x,,x,ATK,Yore,Bloodhunter,Ex,"C7-17, S-17",Conviction,Taunt+ (Damage),Attack up (Lv.2),Verity (Lv.2),Leech (Stock +1),Might (Stock +2),Restoration (Lv. 2),Fervor,Attack up (Lv.4),ATK Master (Amplify),Wrath,Carnage+ (Destroy)
294,Yaobikuni,x,x,x,HLG,Honor,Aurogrinder,Ex,,Affliction (Lv. 3),Zeal (Time +10s),Abyss,Zeal+ (Accuracy),Breaker+ (Havok),Affliction (Lv. 4),Zeal+ (Ardor),Ablution+ (Nimble),Ablution+ (Restore),HLG Master (Rally),Intensity (Stock +1),Exploit (Rage)
295,Yaoya Oshichi,x,x,x,PLN,Peace,Mynx,Ex,"C8-2, C8-8",Extinguishment,Knowledge (Lv.2),Devotion,Ablution+ (Quicken),Ablution (Stock +2),Knowledge (Lv.3),Breaker+ (Link),Exuberance,Knowledge (Lv.4),PLN Master (Amplify),Breaker+ (Amplify),Knowledge (Leech)
296,Yoshida Kenko,x,,x,SPC,Honor,Harrowhalf,Ex,"C6-6, C6-14, C7-16, P6-7, P6-12",Piety,Evasion,Swiftness,Puncture+ (Shoot),DCT Master (Sneak),Puncture (Stock +2),Puncture+ (Amplify),Warp+ (Reverse),Warp (Stock +15),Paradox+ (Surprise),Warp+ (Assembly),Lowered Immunity
297,Yoshida Shoin,x,,x,DCT,Chaos,Pyrogrinder,Normal,"C5-16, P5-9",Stealth (Lv. 1),Zeal (Reduce),Swordsmanship,Illusion (Stock +1),Verity (Lv.2),Vitality (Stock +2),Illusion (TIme +10s),Affliction (Lv. 3),Conviction,Vitality (Stock +3),Illusion+ (Surprise),Restart
298,Yoshino Dayu,x,,x,DCT,Peace,Pale Imp,Normal,C3-5,Affliction (Lv. 1),Antidote,Lifesaver,Leech+ (Amplify),Restoration (Lv. 2),Zeal (Stock +2),Vitality+ (Heal),Zeal+ (Amplify),Vitality (Stock +3),Panacea (Reduce),Vitality+ (Assist),Bound Souls
299,Yui Shosetsu,x,,x,DEF,Peace,Astrapteryx,Normal,"C5-8, S-16",Attack up (Lv.1),Tenacity,Stamina (Lv. 2),Shield (Stock +2),Protection (Lv. 2),Taunt (Time +10s),Leech (Reduce),Protection (Lv. 3),Attack up (Lv.3),Leech+ (Rigid),Protection (Lv. 4),Attack up (Lv.4)
300,Zeami,x,,x,SPT,Honor,Edax,Ex,"C6-12, C12-3, P8-14, P10-15, P12-6",Tolerance (Lv. 2),SPT Master (Rigid),Knowledge (Lv.2),Pursuit (Stock +2),Pursuit+ (Leech),Tranquility,Shield (Reduce),Taunt (Time +10s),Tolerance (Lv. 3),Barrier+ (Awe),Protection of Heroes,Restart
